"","subject","id","seed","notation","sus"
"68",13,21,1638842287,"cnl",27.5
"69",14,22,1683345284,"cnl",47.5
"70",15,23,2055219255,"cnl",45
"71",16,24,1385493348,"cnl",62.5
"72",17,25,1976607728,"cnl",42.5
"73",18,26,603242395,"cnl",50
"74",19,28,213904330,"cnl",62.5
"75",20,29,1524781293,"cnl",72.5
"76",21,30,2020808474,"cnl",70
"77",22,31,216425274,"cnl",85
"78",23,32,1460590031,"cnl",67.5
"79",24,33,790342637,"cnl",75
"80",25,34,1700181835,"cnl",72.5
"81",26,35,1162175495,"cnl",75
"82",27,36,450050402,"cnl",42.5
"83",28,37,436751504,"cnl",25
"84",29,39,1449684040,"cnl",92.5
"85",30,40,2130912221,"cnl",57.5
"86",31,43,1876369982,"cnl",30
"87",32,45,904296725,"cnl",57.5
"88",33,53,944159441,"cnl",62.5
"89",34,54,32789223,"cnl",60
"90",35,55,1776216516,"cnl",5
"91",36,56,1197490048,"cnl",60
"92",37,58,1209479113,"cnl",70
"93",38,59,1444407963,"cnl",55
"94",39,62,532468672,"cnl",80
"95",40,65,140112808,"cnl",32.5
"96",41,66,1176156196,"cnl",77.5
"97",42,67,49407394,"cnl",42.5
"98",43,68,1242304743,"cnl",67.5
"99",44,71,1227483714,"cnl",62.5
"100",45,72,1660934437,"cnl",72.5
"101",46,74,416517917,"cnl",12.5
"102",47,76,1925785819,"cnl",47.5
"103",48,77,2081927725,"cnl",80
"104",49,79,326882635,"cnl",90
"105",50,80,235934462,"cnl",17.5
"106",51,81,2014659586,"cnl",97.5
"107",52,82,1778131956,"cnl",45
"108",53,83,2109237847,"cnl",57.5
"109",54,84,1012554506,"cnl",20
"110",55,85,416935227,"cnl",77.5
"111",1,2,2051833672,"kv",65
"112",2,5,2108605786,"kv",35
"113",3,6,980809349,"kv",50
"114",4,8,1975677673,"kv",77.5
"115",5,11,299112953,"kv",82.5
"116",6,12,310649036,"kv",85
"117",7,13,1916526994,"kv",77.5
"118",8,16,530806819,"kv",57.5
"119",9,17,290926371,"kv",25
"120",10,18,2117931939,"kv",72.5
"121",11,19,1048922923,"kv",57.5
"122",12,20,1736209271,"kv",47.5
"123",13,21,1638842287,"kv",60
"124",14,22,1683345284,"kv",72.5
"125",15,23,2055219255,"kv",80
"126",16,24,1385493348,"kv",50
"127",17,25,1976607728,"kv",60
"128",18,26,603242395,"kv",50
"129",19,28,213904330,"kv",62.5
"130",20,29,1524781293,"kv",55
"131",21,30,2020808474,"kv",77.5
"132",22,31,216425274,"kv",42.5
"133",23,32,1460590031,"kv",70
"134",24,33,790342637,"kv",77.5
"135",25,34,1700181835,"kv",65
"136",26,35,1162175495,"kv",67.5
"137",27,36,450050402,"kv",72.5
"138",28,37,436751504,"kv",22.5
"139",29,39,1449684040,"kv",80
"140",30,40,2130912221,"kv",62.5
"141",31,43,1876369982,"kv",67.5
"142",32,45,904296725,"kv",60
"143",33,53,944159441,"kv",72.5
"144",34,54,32789223,"kv",57.5
"145",35,55,1776216516,"kv",7.5
"146",36,56,1197490048,"kv",47.5
"147",37,58,1209479113,"kv",60
"148",38,59,1444407963,"kv",75
"149",39,62,532468672,"kv",27.5
"150",40,65,140112808,"kv",67.5
"151",41,66,1176156196,"kv",55
"152",42,67,49407394,"kv",30
"153",43,68,1242304743,"kv",27.5
"154",44,71,1227483714,"kv",80
"155",45,72,1660934437,"kv",80
"156",46,74,416517917,"kv",10
"157",47,76,1925785819,"kv",45
"158",48,77,2081927725,"kv",42.5
"159",49,79,326882635,"kv",80
"160",50,80,235934462,"kv",75
"161",51,81,2014659586,"kv",77.5
"162",52,82,1778131956,"kv",32.5
"163",53,83,2109237847,"kv",35
"164",54,84,1012554506,"kv",42.5
"165",55,85,416935227,"kv",75
